prioridad,id,nombre,categorias_actuales,url
P1 - carta rota + sin categoría,114737,Bolso RFLCTIV Rainbow Reflective Tri-Strap,NINGUNA,https://www.boykot.cl/tienda/uncategorized/bolso-rflctiv/
P1 - carta rota + sin categoría,114685,Chaqueta RFLCTIV Rainbow Reflective Jacket L,NINGUNA,https://www.boykot.cl/tienda/uncategorized/chaqueta-rflctiv-rainbow-reflective-jacket/
P1 - carta rota + sin categoría,114553,Bolso Essential Shoulder Bag  – Olive,NINGUNA,https://www.boykot.cl/tienda/uncategorized/bolso-essential-shoulder-bag/
P1 - carta rota + sin categoría,114517,Bolso EDC Essential Shoulder Bag (Black),NINGUNA,https://www.boykot.cl/tienda/uncategorized/bolso-edc-essential-shoulder-bag/
P1 - carta rota + sin categoría,114367,Polerón The Watchers Hoodie (Pigment Black) M,NINGUNA,https://www.boykot.cl/tienda/uncategorized/poleron-the-watchers-hoodie/
P2 - carta rota (restock),208979,Canson XL Croquis,Croqueras|Papeles,https://www.boykot.cl/tienda/materiales/papeles/croqueras-papeles/canson-xl-croquis/
P2 - carta rota (restock),117868,Canson croquera anillada 1557 A5-A4,Croqueras|Croqueras,https://www.boykot.cl/tienda/materiales/papeles/croqueras-papeles/canson-croquera-anillada-1557-a5-a4/
P2 - carta rota (restock),116950,Cordones Planos – Dark Brown,Cordones|Cordones Planos Básicos,https://www.boykot.cl/tienda/pintura/angelus/cordones/cordones-planos-dark-brown/
P2 - carta rota (restock),116936,Cordones Planos – Light Beige,Cordones|Cordones Planos Básicos,https://www.boykot.cl/tienda/pintura/angelus/cordones/cordones-planos-light-beige/
P2 - carta rota (restock),116901,Cordones Planos – Brown,Cordones|Cordones Planos Básicos,https://www.boykot.cl/tienda/pintura/angelus/cordones/cordones-planos-brown/
P2 - carta rota (restock),116894,Cordones Planos – Beige,Cordones,https://www.boykot.cl/tienda/pintura/angelus/cordones/cordones-planos-beige/
P2 - carta rota (restock),116880,Cordones Planos – Lilac,Cordones|Cordones Planos Básicos,https://www.boykot.cl/tienda/pintura/angelus/cordones/cordones-planos-lilac/
P2 - carta rota (restock),116859,Cordones Planos – Pale Yellow,Cordones|Cordones Planos Básicos,https://www.boykot.cl/tienda/pintura/angelus/cordones/cordones-planos-pale-yellow/
P2 - carta rota (restock),116741,Cordones Planos – Pink,Cordones|Cordones Planos Básicos,https://www.boykot.cl/tienda/pintura/angelus/cordones/cordones-planos-pink/
P2 - carta rota (restock),116734,Cordones Planos – Navy Blue,Cordones|Cordones Planos Básicos,https://www.boykot.cl/tienda/pintura/angelus/cordones/cordones-planos-navy-blue/
P2 - carta rota (restock),116683,Cordones Ovalados – White,Cordones|Cordones Redondos Ovalados,https://www.boykot.cl/tienda/pintura/angelus/cordones/cordones-ovalados-white/
P2 - carta rota (restock),116650,Cordones Planos Luxury Leather – Gold/Gold Plated,Cordones|Cordones Planos de Cuero,https://www.boykot.cl/tienda/pintura/angelus/cordones/cordones-planos-luxury-leather-gold-gold-plated/
P2 - carta rota (restock),116097,Cordones Redondos Bota – Black/Tan,Cordones|Cordones Redondos para Bota,https://www.boykot.cl/tienda/pintura/angelus/cordones/cordones-redondos-para-bota-black-tan/
P2 - carta rota (restock),97939,Posterman Biggie 50,Kuretake|Marcadores,https://www.boykot.cl/tienda/marcadores/posterman-biggie-50/
P2 - carta rota (restock),97124,Marcador Copic Kirarina 2win Scented,Color|Kirarina|Marcadores,https://www.boykot.cl/tienda/marcadores/kirarina/marcador-copic-kirarina-2win-scented/
P2 - carta rota (restock),85586,Acrylic Ink Refillable Marker,Accesorios Holbein|Empty,https://www.boykot.cl/tienda/pintura/holbein/accesorios-holbein/acrylic-ink-refillable-marker/
P2 - carta rota (restock),73259,"Multiliner Sp Copic Color 0,3 mm",Copic,https://www.boykot.cl/tienda/marcadores/copic-markers/multiliner-sp-copic-color-03-mm/
P2 - carta rota (restock),71012,ACRYLIC MARKER ONE4ALL 427HS 15mm,Color|Marcadores pintura|ONE4ALL,https://www.boykot.cl/tienda/marcadores/molotow-markers/one4all/marker-427-one4all-acryl-15mm/
P2 - carta rota (restock),61682,Libreta Hahnemühle Nostalgie 190 grs. 80 hojas,Croqueras|Papeles,https://www.boykot.cl/tienda/materiales/papeles/croqueras-papeles/croquera-hahnemuhle-nostalgie-190-grs-80-hojas-a6-vertical/
P2 - carta rota (restock),52511,Golden GAC 900 (textil),Sellantes y aditivos,https://www.boykot.cl/tienda/pintura/sellante/medium-golden-gac-900-textil-32-onzas/
P2 - carta rota (restock),52414,Molotow UFA Effect 400ml,Color|Pinturas en aerosol|Spray,https://www.boykot.cl/tienda/pintura/spray/molotow-effect-400ml/
P2 - carta rota (restock),52385,Molotow Metallic  400ml,Color|Pinturas en aerosol|Spray,https://www.boykot.cl/tienda/pintura/spray/molotow-metallic-400ml/
P2 - carta rota (restock),46260,Mesa Futura,Accesorios|Destacados,https://www.boykot.cl/tienda/materiales/accesorios-materiales/mesa-futura/
P2 - carta rota (restock),43123,Molotow UV-Varnish 400ml,Barnices|Color|Sellantes|Spray|Sprays|Urban Fine Art,https://www.boykot.cl/tienda/pintura/sprays/urban-fine-art/molotow-uv-varnish-400ml/
P2 - carta rota (restock),41520,Street Art Acrílico UV resistant 16lts,Color|Esmalte,https://www.boykot.cl/tienda/color/street-art-esmalte-satinado-16lts/
P2 - carta rota (restock),10229,Mask It Roll Xpress it,Accesorios|Xpressit,https://www.boykot.cl/tienda/materiales/accesorios-materiales/mask-it-roll-15x4/
P2 - carta rota (restock),7609,Multiliner Sp Copic Color BS,Lápices|Tiralineas,https://www.boykot.cl/tienda/lapices/tiralineas/multiliner-sp-copic-purple-bs/
P2 - carta rota (restock),6204,440PP Punta T 20mm,Color|Individual|Marcadores|Molotow|Molotow markers|Punta T,https://www.boykot.cl/tienda/marcadores/molotow-markers/molotow-markers-individual/440pp-punta-t-20mm/
P3 - sin categoría (recategorizar),210136,Daler Rowney Pincel Graduate Sintético Flat Wash #1/2,Uncategorized,https://www.boykot.cl/tienda/uncategorized/daler-rowney-pincel-graduate-sintetico-flat-wash-1-2/
P3 - sin categoría (recategorizar),210130,Daler Rowney Pincel Graduate Sintético Angle Shader #1/4,Uncategorized,https://www.boykot.cl/tienda/uncategorized/daler-rowney-pincel-graduate-sintetico-angle-shader-1-4/
P3 - sin categoría (recategorizar),174029,Acuarela Set HWC 12 Tubos 15ml Luminous W894,Uncategorized,https://www.boykot.cl/tienda/pintura/holbein/acuarela-holbein/acuarela-set-hwc12-tubos-15ml-luminous-w894/
P3 - sin categoría (recategorizar),173018,Polera Biometric Weapons Longsleeve Shirt Granite XXL,Uncategorized,https://www.boykot.cl/tienda/uncategorized/polera-biometric-weapons-longsleeve-shirt-granite-xxl/
P3 - sin categoría (recategorizar),156858,IC Screen S-448,Uncategorized,https://www.boykot.cl/tienda/uncategorized/ic-screen-s-448/
P3 - sin categoría (recategorizar),147029,X-press it Mask It Sheets,Uncategorized,https://www.boykot.cl/tienda/uncategorized/x-press-itmask-it-sheets/
P3 - sin categoría (recategorizar),130355,Jockey Most wanted Logodrip,Uncategorized,https://www.boykot.cl/tienda/uncategorized/jockey-most-wanted-logodrip/
P3 - sin categoría (recategorizar),129245,Pincel Princeton Snap! 2 Round Bright 9700R-2,Uncategorized,https://www.boykot.cl/tienda/uncategorized/pincel-princeton-snap-2-round-bright-9700r-2-2/
P3 - sin categoría (recategorizar),120065,Createx UVLS Clear Satin,Uncategorized,https://www.boykot.cl/tienda/uncategorized/createx-uvls-clear-satin/
P3 - sin categoría (recategorizar),120057,Createx UVLS Clear Matte,Uncategorized,https://www.boykot.cl/tienda/uncategorized/createx-uvls-clear-matte/
P3 - sin categoría (recategorizar),120048,Createx UVLS Clear Gloss,Uncategorized,https://www.boykot.cl/tienda/uncategorized/uvls-clear-gloss/
P3 - sin categoría (recategorizar),120045,Createx Retarder,Uncategorized,https://www.boykot.cl/tienda/uncategorized/createx-retarder/
P3 - sin categoría (recategorizar),120043,Createx Restorer,Uncategorized,https://www.boykot.cl/tienda/uncategorized/createx-restorer/
P3 - sin categoría (recategorizar),120014,Createx Reducer,Uncategorized,https://www.boykot.cl/tienda/uncategorized/createx-reducer/
P3 - sin categoría (recategorizar),119939,Createx Illustration Lifeline 240ml,Uncategorized,https://www.boykot.cl/tienda/uncategorized/createx-illustration-lifeline-240ml/
