id,nombre,suggested_category_id,suggested_category_name,confianza
210136,Daler Rowney Pincel Graduate Sintético Flat Wash #1/2,33,Pinceles,REVISAR
210130,Daler Rowney Pincel Graduate Sintético Angle Shader #1/4,33,Pinceles,REVISAR
174029,Acuarela Set HWC 12 Tubos 15ml Luminous W894,2052,Acuarela,REVISAR
173018,Polera Biometric Weapons Longsleeve Shirt Granite XXL,,,REVISAR
156858,IC Screen S-448,,,REVISAR
147029,X-press it Mask It Sheets,,,REVISAR
130355,Jockey Most wanted Logodrip,,,REVISAR
129245,Pincel Princeton Snap! 2 Round Bright 9700R-2,33,Pinceles,REVISAR
120065,Createx UVLS Clear Satin,,,REVISAR
120057,Createx UVLS Clear Matte,,,REVISAR
120048,Createx UVLS Clear Gloss,,,REVISAR
120045,Createx Retarder,,,REVISAR
120043,Createx Restorer,,,REVISAR
120014,Createx Reducer,,,REVISAR
119939,Createx Illustration Lifeline 240ml,,,REVISAR
119902,Createx Illustration Bloodline 60ml,,,REVISAR
119881,Createx Illustration Bloodline 240ml,,,REVISAR
119807,Createx Illustration Lifeline 30ml,,,REVISAR
119774,Createx Illustration Bloodline 30ml,,,REVISAR
119741,Createx Illustration Lifeline 60ml,,,REVISAR
119665,Createx Illustration 240ml,,,REVISAR
119662,Createx Illustration 120ml,,,REVISAR
119581,Createx Illustration 60ml,,,REVISAR
119426,Createx Illustration 30ml,,,REVISAR
119417,Createx Airbrush Colors 960ml,,,REVISAR
119406,Createx Airbrush Colors 480ml,,,REVISAR
119249,Createx Airbrush Colors 240ml,,,REVISAR
119007,Createx Airbrush Colors 120ml unidad,,,REVISAR
118831,Createx Airbrush Colors 60ml unidad,,,REVISAR
118807,Createx Airbrush Colors 60ml 5815-00 Mix Kent Lind Cool Set 8,,,REVISAR
118804,Createx Airbrush Colors 60ml 5816-00 Mix Kent Lind Warm Set 8,,,REVISAR
118801,Createx Airbrush Colors 60ml 5802-00 Fluorescent Set 6,,,REVISAR
118798,Createx Airbrush Colors 60ml 5811-00 Pearlized Sample Set 6,,,REVISAR
118795,Createx Airbrush Colors 60ml 5801-00 Mix Primary Set 6,,,REVISAR
118792,Createx Airbrush Colors 60ml 5803-00 Set 6,,,REVISAR
118789,Createx Airbrush Colors 60ml 5804-00 Pearlized Set 6,,,REVISAR
118786,Createx Airbrush Colors 60ml 5810-00 Tropical Set 6,,,REVISAR
118713,Candy2O 60ml,,,REVISAR
118705,Createx Candy2O 4040 Bleed Checker 120ml,,,REVISAR
118389,Createx Candy2O 120ml,,,REVISAR
118376,Createx Primer AutoBorne,,,REVISAR
118329,Createx Airbrush Cleaner,,,REVISAR
118155,Gesso Acrílico Negro,,,REVISAR
118122,Concept 220 grs. 20 hojas A4,,,REVISAR
114827,Gorro Acid Wrld 2 Tone Beanie (Fuschia),,,REVISAR
114811,Calcetines Crew Sock (Black),,,REVISAR
114809,Calcetines Crew Sock Distort Reality,,,REVISAR
114790,Polera New World Disorder T-Shirt (Wine) XL,,,REVISAR
114787,Capucha Tactics Hood Black,,,REVISAR
114768,Cortaviento RFLCTIV Silver Jacket L,,,REVISAR
114758,Bolso Essential  Crossbody Bag – Olive,,,REVISAR
114738,Polera Reality Distortion Field Longsleeve Shirt (Black) L,,,REVISAR
114737,Bolso RFLCTIV Rainbow Reflective Tri-Strap,,,REVISAR
114726,Gorro Bio-Tracker Cargo Bucket Hat One Size,,,REVISAR
114705,Polera Identity Acquired T-Shirt (Mango) XL,,,REVISAR
114703,Polerón End Hate – Take Action Hooded Sweatshirt (Orange) L,,,REVISAR
114685,Chaqueta RFLCTIV Rainbow Reflective Jacket L,,,REVISAR
114671,Polera Spirit Into Matter T-Shirt (Bright Coral) L,,,REVISAR
114645,Bufanda Familia Scarf One Size,,,REVISAR
114642,Polerón Official-End-Hate-(Volt-Green)-Hoodie L,,,REVISAR
114641,Bolso Essential Tri-Strap Chest Bag  (Desert Coral),,,REVISAR
114625,Jockey Spyral Dynamics  6 Panel Hat,,,REVISAR
114621,Bolso ANKL Bag (Red),,,REVISAR
114604,Bolso Crossbody / Fanny Pack – Diamond Pink,1828,Tintas,REVISAR
114598,Bolso Neck Utility – Red,,,REVISAR
114585,Polera Reality Distortion Field Longsleeve Shirt (SageGreen),,,REVISAR
114576,Bolso Vapour Mini Satchel – Burgundy,,,REVISAR
114555,Pantalón RFLCTIV Silver Pants L,,,REVISAR
114553,Bolso Essential Shoulder Bag  – Olive,,,REVISAR
114532,Gorro con Pompom #EFFERSlife Pom,,,REVISAR
114527,Polerón Reality Distortion Field Hooded Sweatshirt (Slate Blue) L,,,REVISAR
114517,Bolso EDC Essential Shoulder Bag (Black),,,REVISAR
114493,Polera Deterministic Delusion Longsleeve Shirt (White) L,,,REVISAR
114478,Chaqueta Ascent Tech Fleece Jacket (Black) L,,,REVISAR
114460,Chaqueta Ascent Tech Fleece Jacket (Brown) L,,,REVISAR
114443,Pantalón RFLCTIV Rainbow Reflective Track Pant M,,,REVISAR
114441,Bolso UV Shoulder Bag,,,REVISAR
114419,Bolso Hip Utility – Realtree® AP Camo,,,REVISAR
114413,Cuello Official Neck Warmer,,,REVISAR
114400,Polera New World Disorder T-Shirt (Sage) S,,,REVISAR
114396,Lentes Rainbow Mirror Face Visor Eye Shield,,,REVISAR
114391,Lentes Apex Face Shield ULTRA (Rainbow),,,REVISAR
114367,Polerón The Watchers Hoodie (Pigment Black) M,,,REVISAR
108970,Washi tape IC [Edición Limitada] – Panel layout,,,REVISAR
108961,Washi tape IC [Edición Limitada] – Drawing tools,,,REVISAR
108954,Washi tape IC [Edición Limitada] – Girl´s comics,,,REVISAR
108947,Washi tape IC [Edición Limitada] – Onomatopeia,,,REVISAR
108940,Washi tape IC [Edición Limitada] – Beta Flash,,,REVISAR
108891,Washi tape IC [Edición Limitada] – Mob,,,REVISAR
82803,Pincel Princeton Snap! 2/0 Round 9850R-2/0,33,Pinceles,REVISAR
79210,Set Plumillas Speedball Zurdos,,,REVISAR
72759,Gouache 15 ml color Primary White,,,REVISAR
69771,Acryla Gouache 20 Ml color Neutral Grey #1,,,REVISAR
69677,Gouache 15 ml color Cobalt Violet,,,REVISAR
69651,Gouache 15 ml color Aqua Blue,,,REVISAR
69648,Gouache 15 ml color Ultramarine Light,,,REVISAR
69633,Gouache 15 ml color Moss Green,,,REVISAR
69604,Gouache 15 ml color Jet Black,,,REVISAR
69603,Gouache 15 ml color Rose,,,REVISAR
69600,Gouache 15 ml color Cerulean Blue,,,REVISAR
69599,Gouache 15 ml color Zinc White,,,REVISAR
69595,Gouache 15 ml color Naples Yellow Italian,,,REVISAR
69587,Gouache 15 ml color Pure Blue,,,REVISAR
69585,Gouache 15 ml color Burnt Sienna,,,REVISAR
69574,Gouache 15 ml color Naples Yellow,,,REVISAR
69561,Gouache 15 ml color Ice Blue,,,REVISAR
69558,Gouache 15 ml color Carmine,,,REVISAR
69553,Gouache 15 ml color Permanent Yellow Orange,,,REVISAR
69545,Gouache 15 ml color Violet,,,REVISAR
69537,Gouache 15 ml color Yellow Ochre,,,REVISAR
69530,Gouache 15 ml color Phthalo Green,,,REVISAR
69528,Gouache 15 ml color Permanent Green Light,,,REVISAR
69522,Gouache 15 ml color Grey #3,,,REVISAR
69520,Gouache 15 ml color Ash Green,,,REVISAR
69512,Gouache 15 ml color Dark Green,,,REVISAR
69464,Gouache 15 ml color Turquoise Green,,,REVISAR
69452,Gouache 15 ml color Cobalt Turquoise,,,REVISAR
69443,Gouache 15 ml color Cadmium Yellow Orange,,,REVISAR
69439,Gouache 15 ml color Sepia,,,REVISAR
69436,Gouache 15 ml color Cadmium Green Pale,,,REVISAR
69431,Gouache 15 ml color Olive Green,,,REVISAR
69430,Gouache 15 ml color Katsura Blue,,,REVISAR
69424,Gouache 15 ml color Jaune Brillant #1,,,REVISAR
69418,Gouache 15 ml color Primary Magenta,,,REVISAR
69412,Gouache 15 ml color Flame Red,,,REVISAR
69408,Gouache 15 ml color Cobalt Blue,,,REVISAR
69407,Gouache 15 ml color Cobalt Green Pale,,,REVISAR
69402,Gouache 15 ml color Peacock Blue,,,REVISAR
69401,Gouache 15 ml color Permanent Yellow Deep,,,REVISAR
69390,Gouache 15 ml color Leaf Green,,,REVISAR
69387,Gouache 15 ml color Ultramarine Deep,,,REVISAR
69379,Gouache 15 ml color Cadmium Red,,,REVISAR
69378,Gouache 15 ml color Brilliant Gold,,,REVISAR
69375,Gouache 15 ml color Brilliant Silver,,,REVISAR
69371,Gouache 15 ml color Lemon Yellow,,,REVISAR
69362,Gouache 15 ml color Cadmium Yellow Lemon,,,REVISAR
69355,Gouache 15 ml color Pure Red,,,REVISAR
69350,Gouache 15 ml color Iris,,,REVISAR
69337,Gouache 15 ml color Cadmium Green Deep,,,REVISAR
69333,Gouache 15 ml color Raw Umber,,,REVISAR
69318,Gouache 15 ml color Smalt Blue,,,REVISAR
69303,Gouache 15 ml color Lilac,,,REVISAR
69284,Gouache 15 ml color Raw Sienna,,,REVISAR
69269,Gouache 15 ml color Primary Cyan,,,REVISAR
69261,Gouache 15 ml color Chinese Orange,,,REVISAR
69256,Gouache 15 ml color Primary Yellow,,,REVISAR
69249,Gouache 15 ml color Cadmium Red Purple,,,REVISAR
69248,Gouache 15 ml color Jaune Brillant #2,,,REVISAR
69243,Gouache 15 ml color Navy Blue,,,REVISAR
69242,Gouache 15 ml color Pink,1828,Tintas,REVISAR
69237,Gouache 15 ml color Primary Black,,,REVISAR
69233,Gouache 15 ml color Cadmium Yellow,,,REVISAR
69222,Gouache 15 ml color Permanent Green Deep,,,REVISAR
69219,Gouache 15 ml color Brilliant Orange,,,REVISAR
69215,Gouache 15 ml color Grey #2,,,REVISAR
69214,Gouache 15 ml color Terre Verte,,,REVISAR
69209,Gouache 15 ml color Rose Violet,,,REVISAR
69198,Gouache 15 ml color Geranium,,,REVISAR
69194,Gouache 15 ml color Ash Blue,,,REVISAR
69193,Gouache 15 ml color Magenta,,,REVISAR
69191,Gouache 15 ml color Prussian Blue,,,REVISAR
69187,Gouache 15 ml color Cyprus Green,,,REVISAR
69182,Gouache 15 ml color Pearl Gold,,,REVISAR
69175,Gouache 15 ml color Permanent Yellow,,,REVISAR
69146,Gouache 15 ml color Marigold,,,REVISAR
69142,Gouache 15 ml color Pearl Copper,,,REVISAR
69136,Gouache 15 ml color Ivory Black,,,REVISAR
69130,Gouache 15 ml color Rich Gold,,,REVISAR
69127,Gouache 15 ml color Brilliant Pink,1828,Tintas,REVISAR
69118,Gouache 15 ml color Permanent White,,,REVISAR
69115,Gouache 15 ml color Burnt Umber,,,REVISAR
69105,Gouache 15 ml color Silver,,,REVISAR
69103,Gouache 15 ml color Blue Violet,,,REVISAR
69100,Gouache 15 ml color Emerald Green Nova,,,REVISAR
69096,Gouache 15 ml color Cadmium Red Deep,,,REVISAR
69080,Gouache 15 ml color Pearl White,,,REVISAR
69076,Gouache 15 ml color Cadmium Green,,,REVISAR
69054,Gouache 15 ml color Turquoise Blue,,,REVISAR
69053,Gouache 15 ml color Grey #1,,,REVISAR
69047,Gouache 15 ml color Opera,,,REVISAR
69038,Gouache 15 ml color Alizarin Crimson,,,REVISAR
61661,Pluma Drawing Pen Copic,676,Copic,REVISAR
